Article,Recommendation
Google Grants Available for Nonprofit Organizations,"[(0.96, 'Podio Launches Video Conference App'), (0.88, 'YouTube Adds Google Plus Type Comments'), (0.88, 'Video Ad Service TubeMogul Hopes to Raise $93.4 Million with IPO'), (0.88, 'Upstart: Backers Invest in You, And Your Future Earnings Repay Them'), (0.88, 'Q2 Earnings Announcements This Week')]"
CorpNet Adds Free Meeting Minutes and Corporate Document Templates,"[(0.97, 'Upstarts: How GenY Entrepreneurs are Rocking the World of Business'), (0.97, 'Offer Newsletter Sign Up Incentives to Your Site Visitors With Incentivibe'), (0.97, 'Chekkt: A Place To Discover Business Management Software'), (0.97, 'Adobe Document Cloud Aims to Get Rid of Your Paperwork'), (0.93, 'Join Me For: Choosing the RIGHT Online Software')]"
Social Media Customer Care Company Raises $1 Million for Growth,"[(0.98, 'Book Review: You Are What You Choose'), (0.98, 'Batchbook and HootSuite Integration: View Social Media Activity and Customer Contacts Together'), (0.97, 'Vocus, Provider of PRWeb, Acquires iContact Email Marketing'), (0.97, 'Using the Law of Attraction to Create the Company You Want'), (0.97, 'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses')]"
Coca-Cola: Marketing Done Right,"[(1.0, '11 Ways To Do More With Online Video'), (0.97, 'New Google and New Foursquare Offerings Call Attention to Local Business Marketing'), (0.96, 'Vocus, Provider of PRWeb, Acquires iContact Email Marketing'), (0.96, 'Raise and Re-Energize Your Business Metabolism'), (0.96, 'How to Leverage Infographics for B2B Marketing')]"
10 Ways to Use Hashtags for Your Business,"[(1.0, 'Using Vine Videos to Beef Up Your Written Content'), (1.0, 'New Magazine Tells of Smart Hustling Small Business Entrepreneurs'), (0.97, 'Why Small Businesses Love Cloud Services'), (0.94, 'How to Create a Mobile Office for Your Small Business'), (0.94, 'Better Business Bureau Reviews, LinkedIn Apps and More')]"
"Will We Soon See a Color Kindle E-Reader, Instead of Black and White?","[(0.92, 'Communicating to Employees About Health Insurance Open Enrollment'), (0.92, 'Behavioral Economics for Entrepreneurs'), (0.87, 'HP Officejet Pro 8630 Takes Business Printing Mobile'), (0.86, 'Odd Lots:'), (0.86, 'Insights From Google About How Small Businesses Can Improve Sales')]"
WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers,"[(1.0, 'Small Businesses Spend More on Travel, Per Concur Survey'), (1.0, 'Improving Your Community Can Improve Your Business'), (0.98, 'Spotlight: Helena Tubridy Uses Hypnotherapy to Treat Infertility'), (0.97, 'Fortune 500 Thrives, But Small Businesses Not So Optimistic'), (0.96, 'Protecting Small Business Intellectual Property')]"
Getting Your Small Business Started On Yelp,"[(1.0, 'Small Business News: Tips For Your Next Venture'), (0.96, 'Why Small Businesses Love Cloud Services'), (0.96, 'SoundCloud Introduces Program to Share Revenue with Artists'), (0.96, 'Purchase by Commenting on Instagram with Spreesy'), (0.96, 'Offer Newsletter Sign Up Incentives to Your Site Visitors With Incentivibe')]"
5 Reasons SMBs Need Content Marketing,"[(0.96, '10 Ways to Save Money for Your Business'), (0.94, 'The Evolution of Affiliate Marketing'), (0.94, 'Read Impact Equation to Help You Harness Your Social Media Message'), (0.94, 'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market'), (0.94, 'Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business')]"
Here comes Wells Fargo...,"[(1.0, 'The Psychology of Color in Marketing'), (0.97, 'Woman Makes Business Out of Giant Cookies After Losing Job of 30 Years'), (0.95, 'How to Create a LinkedIn Company Page That Drives Sales'), (0.95, '5 Ways Business Intelligence and Online Marketing Can Work Together'), (0.95, '20 Free Social Media Monitoring Tools You Should be Using')]"
"Yelp Will Allow Businesses to Sell Food, Other Services","[(1.0, 'Week In Review: Small Business Saturday, Twitter Experiments and More'), (0.96, 'Run Your Biz Like a Machine With These WordPress Plugins, Resources and Tips'), (0.92, 'Remote Work No Longer a Perk But a Business Imperative'), (0.92, 'New LG Smartphone Added to the G3 Line Has a Stylus Pen'), (0.92, 'Chekkt: A Place To Discover Business Management Software')]"
Curved Smartphones Trend:  G Flex Ready for the U.S.,"[(0.88, 'Will You Jump at the Chance? BlackBerry Leap Pre-orders Begin'), (0.88, 'Juice Your Apple Devices with this Fun Juice Box Charger'), (0.82, '4 Powerful LinkedIn Tips To Generate Sales'), (0.81, 'Microsoft Makes $44.6 Billion Cash And Stock Bid For Yahoo; 62 Percent Premium'), (0.81, 'Invisible Capital Reveals The Resources That Builds Success')]"
How Venture Capital Deals Have Changed Since the Great Recession,"[(1.0, 'What you need to know on Wall Street right now'), (0.97, 'Give Quantitative, Monetary Values to Employee Benefits or Risk Attrition'), (0.97, 'Banks and tech firms apply blockchain to trade finance'), (0.94, 'When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur'), (0.91, 'Estimated Tax Payments:  Your Questions Answered')]"
How To Integrate Your Remote Office Effectively,"[(1.01, 'How to Strengthen Your Social Media Content Marketing Strategy'), (1.01, '5 Essential Social Sharing Buttons for Your Site'), (1.0, 'How best friends turned co-founders are building their dream business'), (0.97, 'Top 10 Technology Books'), (0.97, 'Infusionsoft Announces Mobile Payments and More at ICON15')]"
6 Ways to Create A Positive Brand Perception,"[(1.01, 'Business Book Review: iPhone And iPad App Marketing'), (1.01, 'Book Review: Stretching a Dollar to Save and Make Thousands'), (1.01, '5 Pillars of Visual Marketing Plus Some Free Tools'), (1.0, 'Xero Sees 200 Percent Increase in U.S. Customers, Adds New Leadership'), (1.0, 'What Google+ Local Pages Means to Your Business')]"
How To Keep Customers Loyal With Coupons,"[(0.96, 'Business Insider is hiring a paid social media intern for our video team. Apply now!'), (0.93, 'Crafting A Killer About Page'), (0.91, 'Google Releases Real-Time Reputation Problem'), (0.9, 'Twitter is Playing Favorites With People You Follow'), (0.86, 'Find Your Soul and You May Just Find Your Niche')]"
The Age of the Platform Will Make You Think,"[(0.96, 'Spotlight: This Service Brings Product Photography into Focus'), (0.96, 'Focused Leadership Teaches Leadership Lessons That Can Make Your Day'), (0.96, 'Federal Gas Tax Could Increase by 15 Cents, More Costs Possible'), (0.96, 'Celebrating National Business Etiquette Week'), (0.96, '5 Surprising Mobile Search Statistics and Facts')]"
Are You Making Use of These 200+ Content Marketing Tips?,"[(0.98, 'You Made It Yourself: Now What? 29 Places to Sell Your Handmade Creations'), (0.96, 'Why Word-of-Mouth Should Be Core to Your Business'), (0.96, 'Top Jobs Of The Week In Digital Media And Mobile Content'), (0.96, 'The Sweet Sound of Online Sales: Review of KaChing'), (0.96, 'Monster Loyalty: Savvy Engagement Tips From Lady Gaga')]"
Lawn Care Services Offered on Amazon Soon,"[(1.0, 'Book Review: I Love You More Than My Dog'), (0.97, 'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe'), (0.97, 'Busted: Hotels.com Caught Buying Links, Apology is Weak'), (0.97, '5 Ways to Avoid BYOD Nightmares'), (0.95, '7 Ways to Get More From Social Media in 2010')]"
HP Announces 8 New Business Tablets,"[(0.97, 'What is a Hashtag? And What Do You Do With Hashtags?'), (0.97, '45+ Tools for Content Curation and Content Marketing'), (0.97, '3 Key Business Marketing Trends for 2014'), (0.95, 'Read Digital Dollar to Get Your Online Strategy in Gear'), (0.95, 'How to Install a WordPress Plugin on Your Website')]"
5 Ways Social Media Can Make Your Trade Show A Success,"[(1.02, '2 Important Things to Know About Viral Videos'), (1.0, 'Here comes the jobs report ...'), (1.0, '4 Reasons Your Brand Should Avoid Facebook'), (0.96, 'What is Canva and How Do I Use It For My Business?'), (0.96, 'Stitch Inventory Integrates With Xero Accounting: Two Small Business Lessons')]"
How to Use The Linkedin Mentions Feature to Engage and Connect,"[(0.95, 'Google Databoard Lets You View Research, Create Infographics'), (0.94, 'Twitter Attack Caused Thousands to Retweet a Single Message'), (0.94, '13 Creative Ways to Use LinkedIn for Lead Generation'), (0.92, 'WhatsApp Messaging Service Reaches 400 Million Active Users'), (0.92, 'Rumors Are Confirmed; Instagram Adds Video')]"
"Better Business Bureau Reviews, LinkedIn Apps and More","[(0.97, 'Upstarts: How GenY Entrepreneurs are Rocking the World of Business'), (0.97, 'Offer Newsletter Sign Up Incentives to Your Site Visitors With Incentivibe'), (0.97, 'Chekkt: A Place To Discover Business Management Software'), (0.94, 'Using Vine Videos to Beef Up Your Written Content'), (0.94, 'New Magazine Tells of Smart Hustling Small Business Entrepreneurs')]"
Loan Approvals Rising at Small Banks and Alternative Lenders,"[(0.98, 'Your New Year Small Business Checklist'), (0.98, 'Will the Dependent Coverage Provision Raise Insurance Premiums?'), (0.95, 'President Obama Angers Small Booksellers With Amazon Speech'), (0.94, 'Exceed Your Indiegogo Goals by 1,000 Percent with These Lessons'), (0.93, 'Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works?')]"
How a Small Business Can Use Big Data,"[(1.0, 'Study Finds Small Business Loans Key to Startup Success'), (1.0, 'Small Business News: Week in Review for July 7'), (1.0, 'Despite the Hype, Few Study Entrepreneurship'), (0.97, 'IRS Claims Small Businesses Underreporting Cash Payments'), (0.96, 'Targeted Cyber Attacks Against Small Biz: Chat Recap')]"
Protecting Small Business Intellectual Property,"[(0.97, 'Small Businesses Spend More on Travel, Per Concur Survey'), (0.97, 'A Beer Keurig Machine? SYNEK Draft System is on its Way'), (0.97, '15 Power Foods To Boost Your Business'), (0.96, 'Yahoo Shuts Down Voices, Bid for Low Cost Content Fails'), (0.96, 'WordStream Improves Its Free AdWords Benchmark Tool For Small Business Advertisers')]"
Odd Lots,"[(0.93, 'Turn Visitors Into Buyers: Benefits of Retargeting'), (0.93, 'Is Your Small Business Marketing to Hispanic Consumers?'), (0.93, 'Here come personal income and spending ...'), (0.93, 'Constant Contact Moves into Mobile with Acquisition of CardStar'), (0.93, '3 Ways to Perform SEO on a Shoestring Budget')]"
Twitter is Playing Favorites With People You Follow,"[(0.96, 'Business Insider is hiring a paid social media intern for our video team. Apply now!'), (0.95, 'What is Periscope and How Do I Use It?'), (0.9, 'How To Keep Customers Loyal With Coupons'), (0.89, 'How to Use The Linkedin Mentions Feature to Engage and Connect'), (0.82, 'Google Databoard Lets You View Research, Create Infographics')]"
Omnichannel done right: 4 ways to keep the communication in marketingcommunications,"[(1.0, 'Market Your Business on Facebook With Some of This Secret Sauce'), (0.97, 'Mary Lou Song of Fuel451: Using Ad Tech to Turn Videos into Digital Marketing Campaigns'), (0.96, '4 Ways To Survive Social Media Humiliation'), (0.96, '3 Steps to Performing Content Marketing on a Shoestring Budget'), (0.95, 'Types of Franchises And How To Find Them')]"
The Christmas Conspiracy,"[(0.89, 'Senate Considering New Visa Program To Encourage Tech Startups'), (0.88, 'Culture, Career Development and Networking Blend in Black Faces In White Places'), (0.86, '10 things you need to know before the opening bell'), (0.8, 'How millions from the Bangladesh Bank heist disappeared'), (0.8, '25 of the Best Cities for Freelancers to Work and Play')]"
Rupee down against dollar,"[(0.96, 'Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can'), (0.96, 'DipJar Offers a New Way for Cashless Customers to Tip'), (0.92, 'LinkedIn Introduces Showcase Pages for Business'), (0.91, 'Print Photos From Your Phone with the Prynt Smartphone Case'), (0.91, 'Gold futures slide on weak global cues')]"
UPS Considers Delivery Drones Too,"[(1.0, 'ZenPayroll Could Change the Way You Pay'), (1.0, 'New York Times Hacked Via Crafty Phishing Attack'), (1.0, 'Microsoft Temporarily Cuts the Price on the Surface 2'), (0.98, 'How Do I Update WordPress Plugins Automatically?'), (0.95, 'Wix, the Freemium Website Building Platform, Is Growing Like Gangbusters')]"
4 Practical SMB Uses For FourSquare,"[(0.96, 'HubSpot Adds Sales Platform and Free CRM to Its Marketing System'), (0.96, 'A 30 Point Checklist for Your Startup'), (0.94, 'Intuit Will Acquire Check App, Deal is Worth $360 Million'), (0.94, 'How to Turn Your Hobby Into a Business'), (0.93, 'Who Is Visiting our Site, Why, And What We Do About It')]"
Insights From Google About How Small Businesses Can Improve Sales,"[(0.97, 'Is Network Congestion Choking Your Mobile Experience?'), (0.93, 'Communicating to Employees About Health Insurance Open Enrollment'), (0.93, 'Answers About Free Wireless at Airports for Modern Travelers'), (0.88, 'JotForm Now Offers Adobe eSign Service'), (0.88, 'HP Officejet Pro 8630 Takes Business Printing Mobile')]"
Infosys is using an algorithm to identify its next top-level leaders,"[(0.98, 'Pricing pressure in US biz cyclical in nature: Cadila Health'), (0.98, 'Modi wants Tesla to set up its factories in India'), (0.95, '[Techie Tuesdays] Manish Bhattacharya  The Kid who paid his education loan by hacking into facebook'), (0.84, 'Daisy Chittilapilly- Director, Partner Organization, Cisco India and SAARC'), (0.83, 'This couple bought 300 acres of land and created Indias first private wildlife sanctuary')]"
When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur,"[(1.0, 'Why Small Businesses Have Trouble Getting Credit'), (0.97, 'Give Quantitative, Monetary Values to Employee Benefits or Risk Attrition'), (0.94, 'What you need to know on Wall Street right now'), (0.94, 'What You Need to Know About the Sequester'), (0.94, 'How Venture Capital Deals Have Changed Since the Great Recession')]"
The Day After: Yang Still Open To Deal; Angry Instiutionals; Shareholder Lawsuits Start,"[(0.87, 'LinkedIn Increases Social Sharing Options'), (0.86, 'Venture Capital Trends: A Shrinking, Evolving Industry'), (0.86, 'Etsy Balances Needs of Sellers, Stockholders as IPO Gets Under Way'), (0.81, 'Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop'), (0.81, ""Michael Phelps has the perfect body for swimming, but that's not the only reason he's so good"")]"
Entrepreneur Gary Vaynerchuk: From Personal Brand to VC Investor,"[(0.97, 'Email Erases 9 to 5 at Many Small to Mid-Sized Businesses'), (0.96, 'Failing to deliver a 39-point list for school education cost Smriti Irani her job'), (0.96, 'Ever Wish You Had the Same Data As Amazon? Terapeak Says You Can'), (0.92, ""STOCKS SLIP: Here's what you need to know""), (0.92, 'BSE: Top gainers and losers')]"
MyOpenID Will Shut Down in February,"[(1.02, 'eBay Plans a New Mobile Ad Network'), (0.95, 'The Rumors Are True, Facebook Gets Hashtags'), (0.92, 'The ultimate master list of revenue models used by Web and Mobile companies'), (0.92, '5 Ways To Turn Up the Volume With Twitter'), (0.89, 'Google Knocks $100 Off Nexus 4')]"
Internet Sales Tax Bill May Stall in House of Representatives,"[(0.94, 'Sell Local Think Global is Loaded With Creative Marketing Ideas for Small Business'), (0.94, '5 Reasons You Can No Longer Afford to Ignore Google Plus'), (0.93, 'When and How to Use Autoresponders'), (0.93, 'Direct Marketing and Other Small Business Wonders'), (0.92, 'Watch These Metrics to Measure YouTube Marketing Success')]"
5 Ways to Start Building Your Brand Online,"[(1.0, 'IBM Acquires SoftLayer: Will Small Biz Hosting Remain?'), (1.0, 'Busted: Hotels.com Caught Buying Links, Apology is Weak'), (0.97, 'eBay Opposes Legislation Imposing New Taxes and Regulatory Burdens on Small Businesses'), (0.96, 'What Does Google Place Pages Mean For SMBs?'), (0.96, 'Plastic Preferred: Cash To Decline to Just 23% of Purchases')]"
Chekkt: A Place To Discover Business Management Software,"[(1.0, 'Week In Review: Small Business Saturday, Twitter Experiments and More'), (0.97, 'CorpNet Adds Free Meeting Minutes and Corporate Document Templates'), (0.97, 'Better Business Bureau Reviews, LinkedIn Apps and More'), (0.96, 'How to Create a Mobile Office for Your Small Business'), (0.96, 'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks')]"
Tom Byun of Yahoo! Small Business: Making That Next Sale,"[(1.0, 'The Best Business Dashboard Apps For Small Businesses'), (1.0, 'Effective Websites for Small Businesses: A Review'), (1.0, '30 Crowdfunding Sites to Take Your Venture to the Next Level'), (0.98, 'Success Secrets of a 6-Year Old Ecommerce Business'), (0.98, 'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market')]"
Your End of Year Legal Checklist,"[(0.94, 'Outright: Simple Online Bookkeeping for Sole Proprietors'), (0.92, 'What Makes You Stand Out When Job Hunting?'), (0.91, 'Will the Dependent Coverage Provision Raise Insurance Premiums?'), (0.89, 'Microsoft Ponders Free Windows Phone Licensing'), (0.89, 'Googles Russian Ad Buy Blocked On Technicality; Putins Spanner In The Works?')]"
5 Small Business Social Media Mistakes,"[(0.98, 'ZenPayroll Could Change the Way You Pay'), (0.98, 'Microsoft Temporarily Cuts the Price on the Surface 2'), (0.97, 'Zapier Zaps Your Data from One App to Another With One Click'), (0.97, 'FAA Changes Rules on Electronic Devices in Flight'), (0.97, 'Buffer Hack Spams Social Media Followers')]"
Apple Will Introduce Two Curved Phones,"[(1.0, 'What Are Net Promoter Scores?'), (0.98, 'Mobile Payments are Exploding: What You Need to Know as a Retailer'), (0.97, 'How to Use Live Streaming for Content Marketing: Meerkat, Periscope, katch.me'), (0.97, '6 Tactics To Drive Traffic To Your Tradeshow Booth'), (0.95, 'Spotlight: Manage A Gazillion Marketing Platforms with Holonis')]"
WitKit Platform Lets Your Team Collaborate in Security,"[(1.0, 'Buy  BEML, target Rs  1000  :   Kunal Bothra'), (0.98, 'iPad Users Get Refund on Office 365'), (0.96, 'New Amazon Kindles Will Be More Like Tablets'), (0.94, 'Plug In and Charge Internationally With the MU System'), (0.93, ""Here's A Brand New Thing You Didn't Know About 'Friends'"")]"
Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program,"[(0.97, 'Why Small Businesses Have Trouble Getting Credit'), (0.97, '20 Places to Get Low Cost or Free Legal Advice for Your Business'), (0.95, 'Top 4 Health Insurance Trends for Small Businesses'), (0.92, 'What You Need to Know About the Sequester'), (0.91, 'Will an LLC Help Lower Your Business Taxes?')]"
Keurig CEO Regrets Big Mistake Made with the 2.0 Brewer,"[(0.9, 'Graph Search Presents Opportunties to Reach More Facebook Users'), (0.9, 'Gold futures slide on weak global cues'), (0.9, 'Charitable Startup Finds New Use for Old Cardboard Boxes'), (0.89, 'Kid Inventors Come Up With Creative Environmental Solutions'), (0.89, 'Does a Rise in Housing Starts Equal Growth in Construction Startups?')]"
"Reed Business Information: Online Sales Manager, LA","[(0.96, 'How to Create a Facebook Page for Your New Business'), (0.91, 'Fox Mobile/Jamba CEO Lucy Hood Resigns; European Focus Going Forward'), (0.87, 'Up close & personal: How Sunny Leone handles stocks, land, gold, other assets'), (0.8, 'Sony Unveils Xperia Z3 Flagship Phone'), (0.77, 'Q2 Earnings This Week')]"
P2P Tech Firm CacheLogic Raises $20M in Third Round Funding,"[(0.98, 'After bruising China battle, Uber cedes to rival Didi'), (0.97, 'Weighing the Pros and Cons of Free City WiFi'), (0.94, 'The 10 biggest European tech stories thisweek'), (0.94, 'HP Officejet Pro 8630 Takes Business Printing Mobile'), (0.92, 'Could Robots Be the Employees of the Future?')]"
Ohio Weighing Major Tax Break For Small Businesses,"[(0.97, 'The First Consumer 3D Printer Is Now In Crowdfunding'), (0.97, 'The Creative Small Business and 4 Ways to Get There'), (0.97, 'Small Business News: Tips For Your Next Venture'), (0.97, 'How to Reinstate a Non-Compliant Business Before the End of the Year'), (0.97, 'Can SMB Owners Make Social Media Useful?')]"
"Smarter, Faster, Cheaper: A Review","[(1.01, 'Business Book Review: iPhone And iPad App Marketing'), (1.01, 'Book Review: Stretching a Dollar to Save and Make Thousands'), (1.01, '5 Pillars of Visual Marketing Plus Some Free Tools'), (1.0, 'Xero Sees 200 Percent Increase in U.S. Customers, Adds New Leadership'), (1.0, 'What Google+ Local Pages Means to Your Business')]"
Curved LG G Flex 2 Phablet a Sequel Improving the Original,"[(0.95, 'Demonetisation: RBI relaxes loan repayment norms for banks, NBFCs'), (0.94, ""Michael Phelps has the perfect body for swimming, but that's not the only reason he's so good""), (0.94, 'Buy Bajaj Finserv Ltd., target Rs 2850.0 :  Kunal Bothra'), (0.89, 'LG Announces its Bendiest Phone Yet at CES 2015'), (0.89, 'Facebook Now Recommends App Developers Turn Off Automatic Posting')]"
Euro zone business growth picks up slightly but still muted,"[(0.98, 'Ten interesting things we read last week'), (0.95, 'Here comes consumer confidence ...'), (0.92, 'Bank of England brings down stimulus sledgehammer to beat Brexit blues'), (0.87, 'When I had no food and only Rs 50 in my pocket  a moving story of an entrepreneur'), (0.87, 'What you need to know on Wall Street right now')]"
Weighing the Pros and Cons of Free City WiFi,"[(0.98, 'ONvocal Unveils Mix360 Noise Cancelling Headphones'), (0.97, 'Volvo is quietly becoming a tech superpower'), (0.97, 'P2P Tech Firm CacheLogic Raises $20M in Third Round Funding'), (0.97, 'HP Officejet Pro 8630 Takes Business Printing Mobile'), (0.95, 'JotForm Now Offers Adobe eSign Service')]"
Design Advice From Visual Marketing Book,"[(0.94, 'Is Your Online Marketing Strategy Up to Date?'), (0.94, 'Going Mobile: Does Your Small Business Need an App?'), (0.94, '2 Important Things to Know About Viral Videos'), (0.92, 'Watch These Metrics to Measure YouTube Marketing Success'), (0.92, 'Nina Yiamsamatha of Foursquare: Future of Global Search is Personalized and Local')]"
10 things you need to know before the opening bell,"[(0.86, 'The Christmas Conspiracy'), (0.81, 'Q2 Earnings This Week'), (0.79, 'Sony Unveils Xperia Z3 Flagship Phone'), (0.78, ""Here's the salary you have to earn to buy a home in 19 major US cities""), (0.78, 'Culture, Career Development and Networking Blend in Black Faces In White Places')]"
"Google Announces Web Designer, Enhancements to DoubleClick","[(1.0, 'What Is HTML5? Do I Need It For My Business Website?'), (1.0, 'Adobe Acquires Fotolia for $800 Million'), (0.97, 'Tech Startup Viddler is a Hometown Success Story'), (0.97, 'Spotlight: Margaritas Restaurant Brings Mexican Culture to New England'), (0.97, 'Mobile Apps SMBs Should Care About')]"
Small Business Guide to Cloud Computing,"[(0.97, 'Teach The Young Entrepreneurs In Your Family With Nacho Money'), (0.94, 'Small Business Optimism: Status Quo or Cautious Optimism?'), (0.94, 'Most Common SMO Strategies Not The Most Effective'), (0.94, 'Big News: Quickbooks Competitor Intacct Targets the SMB Market'), (0.94, 'Are You Making Use of These 200+ Content Marketing Tips?')]"
How to Boost Your Retail Sales Into the New Year,"[(0.96, 'Here comes the jobs report ...'), (0.96, 'Coca-Cola: Marketing Done Right'), (0.96, '11 Ways To Do More With Online Video'), (0.95, 'What is a Hashtag? And What Do You Do With Hashtags?'), (0.95, 'Read Digital Dollar to Get Your Online Strategy in Gear')]"
"New Line Cinema: Director, Interactive Marketing, LA","[(0.95, 'Going Mobile: Does Your Small Business Need an App?'), (0.93, 'Twitter Ads Soar, But Beware This AdWords Hack'), (0.93, 'How to Use Cloud Apps to Streamline Your Marketing Campaign'), (0.91, 'Watch These Metrics to Measure YouTube Marketing Success'), (0.91, 'Getting Your Invention To Market')]"
60 Percent of Online Traffic Now Comes From Mobile,"[(0.97, 'Are You Blogging for Your Small Business?'), (0.95, 'Mary Lou Song of Fuel451: Using Ad Tech to Turn Videos into Digital Marketing Campaigns'), (0.94, 'Why Word-of-Mouth Should Be Core to Your Business'), (0.94, 'Top Jobs Of The Week In Digital Media And Mobile Content'), (0.94, 'A Plug-and-Play Customer Loyalty Program for Small Businesses')]"
LinkedIn Acquires Bizo for a Cool $175 Million,"[(0.96, 'How I increased my productivity 1.5x by experimenting with my work schedule'), (0.92, 'Jonathan Davids of Influicity: Engaging YouTube Stars to Connect with Prospects'), (0.92, '1001 Startup Ideas - Place for connecting students to micro-jobs'), (0.9, 'No More Plastic Phones: Samsung Galaxy A3, A5 Made of Metal'), (0.89, '7 Steps to Writing A Great Blog Post')]"
Google Releases Real-Time Reputation Problem,"[(0.93, 'Crafting A Killer About Page'), (0.92, '20 Reasons People Unfollow You On Twitter'), (0.91, 'How To Keep Customers Loyal With Coupons'), (0.91, '5 Ways To Turn Up the Volume With Twitter'), (0.87, 'Business Insider is hiring a paid social media intern for our video team. Apply now!')]"
6 Actually-Useful Facebook Apps For SMBs,"[(1.0, 'The Blink Factor: Time Management Can Build or Break Your Business'), (1.0, 'Marketing With Vine: Leveraging the Power of 6-Second Videos'), (0.98, 'You Can Use LinkedIn As a Landing Page and Facebook For Blogging'), (0.97, 'Who Should You Follow on Twitter?'), (0.97, 'PayPal Will Change User Agreement After Robocall Concerns')]"
Why SMB owners should care about SEO,"[(1.0, 'enMarkit Leads in Social Commerce in India'), (0.97, 'Web.com Moves Into Mobile Marketing With SmartCalls'), (0.97, 'Small Businesses Spend 20 Hours Per Week on Marketing'), (0.97, 'Practices of Top SEO Companies for Small Businesses'), (0.97, 'Google Gets Heavy-Handed In Local Search')]"
Make Your App Development Easier: Programming JavaScript Applications,"[(0.96, 'Amazon Offers Comparable Tablet Cheaper Than iPad Air'), (0.91, 'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks'), (0.91, 'Awaken Your Productivity With Fearless At Work'), (0.87, 'Twitter Accidentally Sends Out Thousands of Reset Notices'), (0.87, 'Remote Work No Longer a Perk But a Business Imperative')]"
How to Create a LinkedIn Profile That Rocks At Generating Leads,"[(0.94, 'HTC Announces UH OH Protection for When an Oopsie Occurs'), (0.94, 'Futures are rallying'), (0.87, 'Wix Introduces Beautiful ShoutOut Newsletters'), (0.86, 'First Sharp Aquos Smartphone Comes to U.S. Market'), (0.86, 'Crude oil futures fall on weak Asian cues')]"
How Are Business Books Like Restaurants?,"[(1.01, 'How best friends turned co-founders are building their dream business'), (1.0, 'Finding Success Empowering Lifestyle Entrepreneurs'), (0.98, 'Want to Learn How to Use Google Plus for Business? Of Course You Do!'), (0.97, 'Using the Law of Attraction to Create the Company You Want'), (0.97, 'Infusionsoft Announces Mobile Payments and More at ICON15')]"
Invisible Capital Reveals The Resources That Builds Success,"[(0.95, 'Strategic Speed Shows How to Execute Business Strategy Fast and Well'), (0.92, 'Lawn Care Services Offered on Amazon Soon'), (0.92, 'Book Review: I Love You More Than My Dog'), (0.89, 'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe'), (0.89, 'IBM Acquires SoftLayer: Will Small Biz Hosting Remain?')]"
How best friends turned co-founders are building their dream business,"[(1.02, 'You Can Use LinkedIn As a Landing Page and Facebook For Blogging'), (1.01, 'How To Set Up and Structure Multiple Businesses'), (1.01, 'How Are Business Books Like Restaurants?'), (1.0, 'PayPal Will Change User Agreement After Robocall Concerns'), (1.0, 'How To Integrate Your Remote Office Effectively')]"
3 Key Business Marketing Trends for 2014,"[(1.0, 'What is a Hashtag? And What Do You Do With Hashtags?'), (1.0, 'Twitter Ads Soar, But Beware This AdWords Hack'), (1.0, 'How to Use Cloud Apps to Streamline Your Marketing Campaign'), (0.97, 'Indie Books Now Have a Better Shot With Brick-and-Mortar Bookstores'), (0.97, 'HP Announces 8 New Business Tablets')]"
When is the Best Time to Trademark Your Company Name?,"[(0.87, 'Up close & personal: How Sunny Leone handles stocks, land, gold, other assets'), (0.84, '16 Tips for Saving on Small Business Expenses Infographic'), (0.83, 'Wix Introduces Beautiful ShoutOut Newsletters'), (0.77, 'The Terms of Business: How to Negotiate a Partnership Agreement'), (0.75, 'Reed Business Information: Online Sales Manager, LA')]"
How to Use Criminal Background Checks and Not Get Sued,"[(0.95, 'LinkedIn: The Professional Playground For Professional Connections'), (0.95, 'HP Reinventing Traditional Computers With Mini Desktop PC'), (0.95, '15 meeting etiquette rules every professional needs to know'), (0.9, 'Barbershop Makes Kids Look Like Senior Citizens for Free'), (0.89, 'Top Jobs Of The Week In Digital Media')]"
Lenovo A7000 Phablet Offers Super Sound and Little Interference,"[(0.95, 'Presentations: How to Make Your Message Stick'), (0.95, 'LinkedIn: The Professional Playground For Professional Connections'), (0.95, '15 meeting etiquette rules every professional needs to know'), (0.89, 'Top Jobs Of The Week In Digital Media'), (0.89, 'How to Use Criminal Background Checks and Not Get Sued')]"
