,title,most_similar_1,most_similar_2,most_similar_3,most_similar_4,most_similar_5,most_similar_6,most_similar_7,most_similar_8,most_similar_9,most_similar_10
195,Invisible Capital Reveals The Resources That Builds Success,b'How to Be a Fierce Competitor' (0.70),b'Build your Business Through The Economics of Integrity' (0.68),b'Join The Crowdfunding Revolution to Start Your Business' (0.65),b'Success Story of an Indian College Drop Out' (0.62),b'Enterprise Analytics: Big Data Measures to Better Business' (0.61),b'Focused Leadership Teaches Leadership Lessons That Can Make Your Day' (0.60),b'Strategic Speed Shows How to Execute Business Strategy Fast and Well' (0.59),b'Upstarts: How GenY Entrepreneurs are Rocking the World of Business' (0.57),b'Against The Machine: Being Human In The Age of The Electronic Mob' (0.57),b'Read The Other Side of Innovation to Transform Your Revolutionary Ideas' (0.56)
196,How best friends turned co-founders are building their dream business,b'Ever Wonder How to Build a Business as a Personal Stylist?' (0.85),b'Best Business Gifts Under $25 for 2015' (0.84),b'Build your Business Through The Economics of Integrity' (0.77),b'When to Give Business Gifts and Who to Give Them to' (0.69),b'The Blink Factor: Time Management Can Build or Break Your Business' (0.68),b'Why Word-of-Mouth Should Be Core to Your Business' (0.64),b'A 101 Guide To Building Your Personal Brand' (0.64),b'13 Best Practices for Building Solid Small Business Operations' (0.63),b'The Gen Y Handbook: Talking Business With Millennials' (0.63),b'Oakland Program Helps Underprivileged Youth Start Businesses' (0.62)
197,How to Use Criminal Background Checks and Not Get Sued,b'When and How to Use Autoresponders' (0.95),b'Infosys is using an algorithm to identify its next top-level leaders' (0.94),b'Spotlight: Helena Tubridy Uses Hypnotherapy to Treat Infertility' (0.91),b'What Not to Do When Using Internet on the Go' (0.90),b'What is Periscope and How Do I Use It?' (0.90),"b'Bill Gates, Warren Buffett And Oprah All Use The 5-Hour Rule' (0.90)",b'What is Canva and How Do I Use It For My Business?' (0.82),b'Expand Your Pinterest Strategy Beyond Images Using Dashboards' (0.78),b'4 Practical SMB Uses For FourSquare' (0.77),b'10 Assets for Using Tech to Keep Your Team on Track' (0.76)
198,Lenovo A7000 Phablet Offers Super Sound and Little Interference,b'Sony Unveils Xperia Z3 Flagship Phone' (0.88),b'Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop' (0.86),b'Amazon Offers Comparable Tablet Cheaper Than iPad Air' (0.84),"b'Nexus 6 Could Compete with iPhone 6 Plus, Other Phablets' (0.83)",b'HP Reinventing Traditional Computers With Mini Desktop PC' (0.82),"b'Will We Soon See a Color Kindle E-Reader, Instead of Black and White?' (0.82)",b'Amazon Innovates With New Tablets and e-Readers' (0.82),b'Call+ Offers Free Landline Calls To 16 Countries' (0.82),b'HTC Announces UH OH Protection for When an Oopsie Occurs' (0.80),b'Amazon Introduces New Kindle Fire Tablets' (0.76)
199,Angel Investments Since the Economic Downturn,b'Angel Investments Update Since the Economic Downturn' (0.96),"b'Venture Capital Trends: A Shrinking, Evolving Industry' (0.82)","b'Robust Employment Growth, Just not for the Self-Employed' (0.72)","b'What to buy, sell and hold' (0.67)",b'Franchising In The Downturn And Recovery' (0.64),"b'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant' (0.61)",b'Idea Cellular posts 74 percent drop in first quarter profit' (0.61),b'IRS Business Data in Pictures' (0.60),"b'After bruising China battle, Uber cedes to rival Didi' (0.57)",b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.57)
200,Plastic Preferred: Cash To Decline to Just 23% of Purchases,b'Idea Cellular posts 74 percent drop in first quarter profit' (0.62),b'7th Pay Commission is here! Central govt employees to receive pay hike from next month' (0.60),b'Bank of England brings down stimulus sledgehammer to beat Brexit blues' (0.60),"b'Demonetisation: Banks may trim base rate by 360 bps in 3-4 years, says Ambit' (0.58)",b'Putin and Erdogan move towards repairing Russia-Turkey ties' (0.57),b'How Do You Feel About Raising the Minimum Wage?' (0.56),b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.56),b'USPS Cuts Saturday Mail Delivery But Will Continue Package Delivery' (0.55),b'Keurig CEO Regrets Big Mistake Made with the 2.0 Brewer' (0.54),"b'Robust Employment Growth, Just not for the Self-Employed' (0.54)"
201,Who Has the Better Job: Software Developer or Architect?,"b'Robust Employment Growth, Just not for the Self-Employed' (0.59)",b'Here comes the jobs report ...' (0.54),b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.50),"b'South Dakota, Texas Top List of Best State Tax Systems' (0.46)",b'SK Telecom-Helio-Virgin Mobile Deal Done; Helio To Be Injected Into VMUSA: Report' (0.46),b'Angel Investments Since the Economic Downturn' (0.45),b'Here come ADP private payrolls ...' (0.45),"b""Here's the salary you have to earn to buy a home in 19 major US cities"" (0.45)","b'3D Printing, Copywriting Are Among the Top Outsourced Jobs' (0.45)",b'Franchising In The Downturn And Recovery' (0.44)
202,Join Me For: Choosing the RIGHT Online Software,b'How Low Will Online Storage Costs Finally Go?' (0.91),b'Outright: Simple Online Bookkeeping for Sole Proprietors' (0.84),b'Top 5 Online Credibility Killers' (0.81),b'Smartsheet: Online Spreadsheets for Project Collaboration' (0.80),b'Cyber Liability Insurance: Protect Your Business Online' (0.78),b'How Do Consumers Buy Online?' (0.76),b'10 Online Dangers Your Business Faces' (0.76),b'Read Digital Dollar to Get Your Online Strategy in Gear' (0.76),b'The Sweet Sound of Online Sales: Review of KaChing' (0.70),b'Is Your Online Marketing Strategy Up to Date?' (0.70)
203,Nina Yiamsamatha of Foursquare: Future of Global Search is Personalized and Local,b'The 2012 Local Search Ranking Factors Report Is In' (0.75),b'Google Gets Heavy-Handed In Local Search' (0.63),"b'Mike Blumenthal Talks Local Search Marketing, Pigeon Update' (0.62)",b'Local Marketing and the Google Pigeon Update' (0.60),b'Picking Winning Keywords For Your SMB Site' (0.57),b'Getting Comfortable With Self-Promotion' (0.55),b'Little Known Brand Monitoring Search Tricks' (0.55),b'Local and Ecommerce Merchants Pick Up On Facekini Trend' (0.54),"b'Hotpot Loses Identity, Gets Merged Into Places' (0.53)",b'Google Releases Real-Time Reputation Problem' (0.52)
204,28 Webinar Services for Small Business Owners,b'Why Small Businesses Love Cloud Services' (0.90),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.89),b'Getting Your Small Business Started On Yelp' (0.87),b'Samsung SMART Signage TV:  Digital Signs and TV for Small Businesses' (0.85),b'Are You Blogging for Your Small Business?' (0.85),b'Bigcommerce Increases Reach Into Small Business Commerce' (0.84),b'5 Benefits of Having a Website for Your Small Business' (0.80),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.79),b'How the Cloud is Reshaping Small Business Productivity' (0.78),b'Catch Up With Our Latest Small Business News Recap' (0.78)
205,Volvo is quietly becoming a tech superpower,b'These were the 10 biggest European tech stories thisweek' (0.85),b'The 10 biggest European tech stories thisweek' (0.81),"b""AdPushup, a tech startup backed by Microsoft Accelarator just raised Series A funding from Japan's Geniee, Inc"" (0.81)",b'[Video] The Single Biggest Reason Why Startups Succeed' (0.77),b'Tech Startup Viddler is a Hometown Success Story' (0.75),"b'VC Firm IvyCap is going into IITs, IIMs and ISB to fund startups.\nYes, Christmas just came early this year' (0.74)",b'Got a Startup Tech Hardware Product to Sell? Try Grand St.' (0.71),b'15 Startup Mistakes You Should Avoid' (0.71),b'The Hiring Roadmap We Advise for All Our Portfolio Startups' (0.71),b'1001 Startup Ideas - Delivery Aggregator in a city' (0.69)
206,Top Reasons to Incorporate Your Business,b'How To Set Up and Structure Multiple Businesses' (0.88),b'How to Reinstate a Non-Compliant Business Before the End of the Year' (0.87),b'How to Turn Your Hobby Into a Business' (0.86),b'Will an LLC Help Lower Your Business Taxes?' (0.80),b'Are You Guilty of Committing the Top Incorporation Mistakes?' (0.78),b'Your End of Year Legal Checklist' (0.75),b'Answers to Your Frequently Asked Questions About Incorporation' (0.75),b'Is It Time to Change Your Business Structure?' (0.74),b'20 Places to Get Low Cost or Free Legal Advice for Your Business' (0.72),b'When to Give Business Gifts and Who to Give Them to' (0.67)
207,Lumiary Lights the Way for Marketing Your Online Business,b'5 Ways Business Intelligence and Online Marketing Can Work Together' (0.89),b'11 Ways To Do More With Online Video' (0.85),b'21 Often-Overlooked Ways to Generate Leads Online' (0.81),b'Is Your Online Marketing Strategy Up to Date?' (0.78),b'LotusJump Review: Do-It-Yourself Online Marketing Service' (0.72),b'15 Ways to Avoid Bad Online Reviews' (0.71),b'Top 5 Online Credibility Killers' (0.69),b'10 Online Dangers Your Business Faces' (0.67),b'4 Ways to Market Your SMB With Flickr' (0.65),b'Learn How to Improve Online Marketing: Performance Marketing With Google Analytics' (0.62)
208,What is Periscope and How Do I Use It?,b'When and How to Use Autoresponders' (0.97),b'What Not to Do When Using Internet on the Go' (0.91),b'How to Use Criminal Background Checks and Not Get Sued' (0.90),b'Expand Your Pinterest Strategy Beyond Images Using Dashboards' (0.87),b'10 Assets for Using Tech to Keep Your Team on Track' (0.86),b'Infosys is using an algorithm to identify its next top-level leaders' (0.86),b'Spotlight: Helena Tubridy Uses Hypnotherapy to Treat Infertility' (0.86),"b'Bill Gates, Warren Buffett And Oprah All Use The 5-Hour Rule' (0.86)",b'4 Practical SMB Uses For FourSquare' (0.85),b'What is Canva and How Do I Use It For My Business?' (0.84)
209,Govt's decision to demonetise a retrograde move: Arvind Sanger,"b'Demonetisation: Banks may trim base rate by 360 bps in 3-4 years, says Ambit' (0.91)","b'Demonetisation: RBI relaxes loan repayment norms for banks, NBFCs' (0.87)",b'Odd Lots' (0.73),b'Lodha says it sold Rs 150-160 cr new property in last 10 days' (0.72),b'Thanks to TheAppleBlog Sponsors!' (0.71),b'How millions from the Bangladesh Bank heist disappeared' (0.69),b'Keurig CEO Regrets Big Mistake Made with the 2.0 Brewer' (0.69),b'Banks and tech firms apply blockchain to trade finance' (0.68),b'These 19 companies are racing to put driverless cars on the road by 2020' (0.68),b'Odd Lots:' (0.68)
210,12 Blogs Every Small Business Should Be Reading,b'Are You Blogging for Your Small Business?' (0.88),b'How Often Should You Update Your Small Business Blog?' (0.86),b'5 Benefits of Having a Website for Your Small Business' (0.85),b'The Commitment Engine Inspires Small Business Growth' (0.83),b'Getting Your Small Business Started On Yelp' (0.79),b'28 Webinar Services for Small Business Owners' (0.78),b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.78),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.73),b'Catch Up With Our Latest Small Business News Recap' (0.71),b'4 Lessons The Shifting Legal Sector Can Teach Small Business Owners' (0.69)
211,Franchising And Politics,b'Types of Franchises And How To Find Them' (0.98),b'Introduction To Franchising' (0.97),b'A Look at Franchises Specializing In Security' (0.93),b'10 Food Franchise Technology Tools And Solutions' (0.90),b'Franchising In The Downturn And Recovery' (0.89),b'5 Tips for Buying a Franchise' (0.88),b'Stay At Home Mom Launched $24 Million Franchise in her Living Room' (0.76),"b'Busted: Hotels.com Caught Buying Links, Apology is Weak' (0.53)","b""Here's the salary you have to earn to buy a home in 19 major US cities"" (0.52)","b'Buy  BEML, target Rs  1000  :   Kunal Bothra' (0.51)"
212,Seven important triggers that changed your market while you were sleeping,b'Oil prices fall on oversupply concerns despite output cuts' (0.68),b'Wall Street opens little changed' (0.66),b'Chinese yuan strengthens' (0.66),b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.64),b'Rupee down against dollar' (0.62),"b'Copper futures rise on global cues, spot demand' (0.62)",b'Crude oil futures fall on weak Asian cues' (0.62),b'Cardamom futures remain up on rising demand' (0.60),"b'Vocus, Provider of PRWeb, Acquires iContact Email Marketing' (0.60)","b""Here's a super-quick guide to what traders are talking about right now"" (0.58)"
213,"Mashable Raises $13 Million, Its First Ever Outside Investment","b'SBA Fund Adds Manufacturing, Lifts $200 Million Limit' (0.78)",b'Banks and tech firms apply blockchain to trade finance' (0.65),b'The 10 biggest European tech stories thisweek' (0.64),b'These were the 10 biggest European tech stories thisweek' (0.64),"b'The curious story of Dadi Balsara, the Parsi billionaire who stayed\nat Taj Mansingh Hotel for 36 years' (0.63)","b'Yelp Loses Money, But Hits 100 Million Visitors' (0.63)","b'After bruising China battle, Uber cedes to rival Didi' (0.63)",b'Adobe Acquires Fotolia for $800 Million' (0.62),b'How millions from the Bangladesh Bank heist disappeared' (0.61),b'1001 Startup Ideas - Delivery Aggregator in a city' (0.61)
214,"Robust Employment Growth, Just not for the Self-Employed",b'Angel Investments Update Since the Economic Downturn' (0.74),b'Angel Investments Since the Economic Downturn' (0.72),"b'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant' (0.72)",b'IRS Business Data in Pictures' (0.70),"b'Venture Capital Trends: A Shrinking, Evolving Industry' (0.67)",b'Small Business Employment Share Shrinking for a Good Reason' (0.65),b'How Do You Feel About Raising the Minimum Wage?' (0.65),b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.65),b'Putin and Erdogan move towards repairing Russia-Turkey ties' (0.63),b'Euro zone business growth picks up slightly but still muted' (0.60)
215,"Vocus, Provider of PRWeb, Acquires iContact Email Marketing",b'The Evolution of Affiliate Marketing' (0.82),b'QuickBooks Replacement Intacct Raises Money to Penetrate SMB Market' (0.81),b'Getting Your Invention To Market' (0.80),b'The Psychology of Color in Marketing' (0.78),b'Watch These Metrics to Measure YouTube Marketing Success' (0.72),b'45+ Tools for Content Curation and Content Marketing' (0.71),"b'Email Marketing is Not Dead, Bring it Back to Life With These Resources' (0.70)",b'Loni Stark of Adobe: Digital Marketing Solutions in the Cloud' (0.70),b'IDG Entertainment: Director of Marketing' (0.69),b'SMB Marketing Is About Telling Your Story' (0.68)
216,Small Business Startup: Where To Begin,b'Study Finds Small Business Loans Key to Startup Success' (0.83),b'Small Business News: Small Biz Startup Tips' (0.82),b'Connie Certusi of Sage: Our Goal is to Automate Small Business Tasks' (0.79),b'Peer-to-Peer Lending Club Fine-Tunes Small Business Loan Program' (0.75),"b'Small Businesses Spend More on Travel, Per Concur Survey' (0.72)",b'Lawton Ursrey of SageOne: Improve Small Business Efficiency' (0.71),b'Catch Up With Our Latest Small Business News Recap' (0.70),b'Why Small Businesses Have Trouble Getting Credit' (0.69),b'Are You Blogging for Your Small Business?' (0.69),b'Getting Your Small Business Started On Yelp' (0.68)
217,Getting Your Business Energy Efficient Before the Holidays,b'Get It Together! Consolidate Your Business Systems' (0.66),b'When to Give Business Gifts and Who to Give Them to' (0.66),b'TaskRabbit Switches Business Models' (0.66),b'Why Word-of-Mouth Should Be Core to Your Business' (0.59),b'Business By Miles: Automate Your Business All in a Single System' (0.56),b'The Small Business Guide to Getting Ready for Vacation' (0.53),b'How to Turn Your Hobby Into a Business' (0.53),b'Best Business Gifts Under $25 for 2015' (0.53),b'Gross Fixed Capital Formation Weak at Non-Corporate Businesses' (0.52),b'How to Reinstate a Non-Compliant Business Before the End of the Year' (0.50)
218,MSFT-YHOO: Links To Coverage Across Our Sites,b'Offer Newsletter Sign Up Incentives to Your Site Visitors With Incentivibe' (0.74),"b'Who Is Visiting our Site, Why, And What We Do About It' (0.73)",b'SoundCloud Introduces Program to Share Revenue with Artists' (0.69),b'30 Crowdfunding Sites to Take Your Venture to the Next Level' (0.63),b'Has Your Site Been Pandalized by Google?' (0.60),b'Looking for Blog Topics? @TheSalesLion Has a Few [BlogWorld Coverage]' (0.59),"b'WhatsApp Offers Alternative to Paid Texting, Social Sites' (0.59)",b'Thanks to TheAppleBlog Sponsors!' (0.58),b'Picking Winning Keywords For Your SMB Site' (0.58),b'5 Essential Social Sharing Buttons for Your Site' (0.58)
219,A dummy's guide to GST,"b""Here's a super-quick guide to what traders are talking about right now"" (0.79)",b'European shares lifted by solid earnings but RBS slumps' (0.67),b'USPS Cuts Saturday Mail Delivery But Will Continue Package Delivery' (0.64),b'A Quick Guide to What You Should Be Doing NOW for the Affordable Care Act' (0.64),"b'India orders four maritime spy planes from Boeing, bolsters navy' (0.63)",b'Oil prices fall on oversupply concerns despite output cuts' (0.63),"b'After bruising China battle, Uber cedes to rival Didi' (0.63)",b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.63),b'The 10 most important things in the world right now' (0.61),"b'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant' (0.61)"
220,How to Secure and Protect Mobile Devices,b'Handmark Acquires UK Mobile Game Maker Astraware' (0.90),b'SK Telecom-Helio-Virgin Mobile Deal Done; Helio To Be Injected Into VMUSA: Report' (0.85),b'Speed Up Your Mobile Browsing with Dolphin' (0.85),b'5 Points to Remember About Mobile SEO' (0.76),"b'Quip Allows Mobile Word Processing, Collaboration' (0.72)",b'Mobile Coupons Slowly Gain Steam With Users' (0.71),b'Infusionsoft Announces Mobile Payments and More at ICON15' (0.70),b'5 Surprising Mobile Search Statistics and Facts' (0.69),b'Mobile Apps Software Firm Golden Gecko Gets First Round Funding' (0.69),b'SMB Owners Get Mobile Coupons For The Holidays' (0.60)
221,SK Telecom-Helio-Virgin Mobile Deal Done; Helio To Be Injected Into VMUSA: Report,b'Handmark Acquires UK Mobile Game Maker Astraware' (0.92),b'Speed Up Your Mobile Browsing with Dolphin' (0.88),b'Mobile Coupons Slowly Gain Steam With Users' (0.87),b'How to Secure and Protect Mobile Devices' (0.85),b'5 Surprising Mobile Search Statistics and Facts' (0.83),b'Infusionsoft Announces Mobile Payments and More at ICON15' (0.83),b'5 Points to Remember About Mobile SEO' (0.80),b'SMB Owners Get Mobile Coupons For The Holidays' (0.75),b'Mobile Apps Software Firm Golden Gecko Gets First Round Funding' (0.73),"b'Quip Allows Mobile Word Processing, Collaboration' (0.71)"
222,Why We Are Afraid to Talk Pricing,b'The Art of Pricing' (0.87),b'What Are Sunk Costs?' (0.78),b'How to Handle a Public Relations Crisis' (0.75),b'Are You Being Too Nice for Your Own Good?' (0.68),b'Getting Comfortable With Self-Promotion' (0.66),b'Pricing pressure in US biz cyclical in nature: Cadila Health' (0.64),b'8 Daily Steps to Compete Like a Champion' (0.59),b'How To Get Everything You Promised Done' (0.59),b'Birth to re-birth: The man who made Savita Bhabhi' (0.56),b'Behind the Book: Anita Campbell Talks About Visual Marketing' (0.55)
223,Estimated Tax Payments:  Your Questions Answered,b'Lessons Learned From Your 2013 Tax Return' (0.89),b'Do You Qualify for a Break Under These Small Biz Tax Definitions?' (0.89),b'Answers to Your Frequently Asked Questions About Incorporation' (0.80),b'Will an LLC Help Lower Your Business Taxes?' (0.78),b'CorpNet Adds Free Meeting Minutes and Corporate Document Templates' (0.75),b'Ohio Weighing Major Tax Break For Small Businesses' (0.74),b'Are You Guilty of Committing the Top Incorporation Mistakes?' (0.73),"b'S-Corp Audit Rates Inch Down, But Most Targeted Are Compliant' (0.72)",b'Successful S-Corp Owners: Watch Out For A Tax Increase' (0.71),b'Your End of Year Legal Checklist' (0.69)
224,Strategic Speed Shows How to Execute Business Strategy Fast and Well,b'Join The Crowdfunding Revolution to Start Your Business' (0.80),b'Enterprise Analytics: Big Data Measures to Better Business' (0.80),b'The Gen Y Handbook: Talking Business With Millennials' (0.79),b'Build your Business Through The Economics of Integrity' (0.70),b'Outsell Yourself: Go From Hello to Sold With Ethical Business and Sales Techniques' (0.60),b'Invisible Capital Reveals The Resources That Builds Success' (0.59),b'How to Be a Fierce Competitor' (0.57),b'Why Word-of-Mouth Should Be Core to Your Business' (0.56),b'Read The Other Side of Innovation to Transform Your Revolutionary Ideas' (0.54),b'When to Give Business Gifts and Who to Give Them to' (0.51)
225,Pinterest Contemplates Sponsored Pins,b'Pinterest Beta Tests Do-It-Yourself Promoted Pins for Business' (0.66),"b'Court Reverses $338,000 Award for User Generated Content' (0.65)",b'RebelMouse CMS Lets You Share Posts from Across the Web' (0.62),"b'Disqus Introduces Sponsored Comments For Publishers, Brands' (0.60)",b'[Techie Tuesdays] Manish Bhattacharya  The Kid who paid his education loan by hacking into facebook' (0.55),b'SoundCloud Introduces Program to Share Revenue with Artists' (0.55),b'How to Promote Offline Events On The Web' (0.54),b'Rumors Are Confirmed; Instagram Adds Video' (0.51),b'WixMusic Lets Musicians Set the Tempo for Their Brand' (0.51),b'Bing Gives Twitter Results Including Hashtags and Handles' (0.50)
226,How to Reinstate a Non-Compliant Business Before the End of the Year,b'How To Set Up and Structure Multiple Businesses' (0.92),b'Your End of Year Legal Checklist' (0.88),b'Top Reasons to Incorporate Your Business' (0.87),b'Are You Guilty of Committing the Top Incorporation Mistakes?' (0.82),b'Answers to Your Frequently Asked Questions About Incorporation' (0.81),b'How to Turn Your Hobby Into a Business' (0.80),b'Is It Time to Change Your Business Structure?' (0.79),b'How to Get Your Company Back in Good Standing This Summer' (0.76),b'20 Places to Get Low Cost or Free Legal Advice for Your Business' (0.76),b'Planning a Summer Move: Move Your Corporation From One State to Another' (0.75)
227,"New Microsoft Office Apps, Smartphone Memory Chip Make Headlines",b'The New Picture HTML Code Could Make Your Website Load Faster' (0.80),b'Apps to Make Your Blogging Life Easier' (0.73),b'Mix360 Headset Promises Hi-Fi Experience From Your Smartphone' (0.66),b'ReTargeter Creator Aims to Replace CRM with New Immediately App' (0.65),b'Cicret Could Turn Your Skin Into a Smartphone Display' (0.64),b'Amazon AWS MarketPlace Puts Desktop Apps in the Cloud' (0.64),b'4 Ways to Make or Save Money with a Smartphone' (0.62),b'Print Photos From Your Phone with the Prynt Smartphone Case' (0.60),b'12 Apps to Help Ease Anxiety' (0.59),b'New Asus Android Tablet Will Retail for Under $150' (0.59)
228,Twitter Chat: Is Your Brand Helping Or Hurting Your Business?,b'10 Twitter Blunders Businesses Should Avoid' (0.84),b'Save the Date for a Twitter Chat: Demystifying Data Backup' (0.76),b'How to Market Your Business on Twitter Like a Pro' (0.72),b'Get Ready: Here Comes Twitter Business Center' (0.72),b'10 Reasons to Boost Your Twitter Presence' (0.71),b'Bing Gives Twitter Results Including Hashtags and Handles' (0.71),b'20 Reasons People Unfollow You On Twitter' (0.69),b'Twitter Accidentally Sends Out Thousands of Reset Notices' (0.69),b'Twitter is Playing Favorites With People You Follow' (0.68),b'Tweeter in Chief: Obama Twitter Account Gets Heavy Engagement' (0.68)
229,Pricing pressure in US biz cyclical in nature: Cadila Health,"b'Demonetisation: Banks may trim base rate by 360 bps in 3-4 years, says Ambit' (0.76)",b'Keurig CEO Regrets Big Mistake Made with the 2.0 Brewer' (0.71),b'10 Questions to Ask Before Applying for a Bank Loan' (0.67),"b'Demonetisation: RBI relaxes loan repayment norms for banks, NBFCs' (0.66)","b'The curious story of Dadi Balsara, the Parsi billionaire who stayed\nat Taj Mansingh Hotel for 36 years' (0.65)",b'Profit Sharing Surprise: Lenovo CEO Shares Bonus with Employees' (0.65),b'Why We Are Afraid to Talk Pricing' (0.64),"b""Govt's decision to demonetise a retrograde move: Arvind Sanger"" (0.62)",b'How millions from the Bangladesh Bank heist disappeared' (0.61),b'The Art of Pricing' (0.60)
230,Nimble CRM Says LinkedIn Lock Out is a Minor Stumbling Block,b'LinkedIn: The Professional Playground For Professional Connections' (0.77),b'LinkedIn Gets Rid of Products and Services Tab on Company Pages' (0.74),b'Why I Linked Out on LinkedIn' (0.74),b'How to Create a LinkedIn Company Page That Drives Sales' (0.73),b'How to Create a LinkedIn Profile That Rocks At Generating Leads' (0.62),"b'Google Databoard Lets You View Research, Create Infographics' (0.58)",b'LinkedIn Introduces Showcase Pages for Business' (0.57),b'Not Sure How to Use LinkedIn for B2B? Let Us Help You' (0.51),b'These 19 companies are racing to put driverless cars on the road by 2020' (0.49),b'Infusionsoft Gmail Integration is Now Available' (0.49)
231,Could Your Next Pizza be Delivered by a Drone?,b'8 Daily Steps to Compete Like a Champion' (0.77),b'Meet 15 Movers and Shakers at ICON15' (0.74),b'The Art of Pricing' (0.69),b'Birth to re-birth: The man who made Savita Bhabhi' (0.68),b'How an MBA grad became a marketplace millionaire by selling umbrellas' (0.63),b'Med-tech providing sustainable solutions for healthcare' (0.62),b'Weighing the Pros and Cons of Free City WiFi' (0.61),"b'The curious story of Dadi Balsara, the Parsi billionaire who stayed\nat Taj Mansingh Hotel for 36 years' (0.60)",b'Pricing pressure in US biz cyclical in nature: Cadila Health' (0.59),"b'Look beyond the hype of certification, look for skills to move up in the real world' (0.59)"
232,"This Hyderabad-based startup aims to aggregate cabs, food and mobile recharge apps",b'Mobile Apps Software Firm Golden Gecko Gets First Round Funding' (0.83),b'1001 Startup Ideas - Delivery Aggregator in a city' (0.70),"b""AdPushup, a tech startup backed by Microsoft Accelarator just raised Series A funding from Japan's Geniee, Inc"" (0.69)",b'ReTargeter Creator Aims to Replace CRM with New Immediately App' (0.67),b'The Hiring Roadmap We Advise for All Our Portfolio Startups' (0.65),"b'VC Firm IvyCap is going into IITs, IIMs and ISB to fund startups.\nYes, Christmas just came early this year' (0.64)",b'What NOT to Spend On In Your Startup' (0.62),b'5 Points to Remember About Mobile SEO' (0.60),b'Personal task management startup dunzo raises $650K funding from Blume Ventures and Aspada' (0.60),b'[Video] The Single Biggest Reason Why Startups Succeed' (0.60)
233,Sun TV Q1 net profit climbs 19% to Rs 233.1 crore,b'Chinese yuan strengthens' (0.89),b'Rupee down against dollar' (0.86),b'Oil prices fall on oversupply concerns despite output cuts' (0.86),b'Tata Chemicals Q1 profit up 32.34 pc at Rs 279.65 crore' (0.84),b'Crude oil futures fall on weak Asian cues' (0.82),b'Gold futures slide on weak global cues' (0.81),b'Cardamom futures remain up on rising demand' (0.79),"b'Copper futures rise on global cues, spot demand' (0.79)","b'Time Warner takes stake in Hulu, lifts profit forecast' (0.77)",b'European shares lifted by solid earnings but RBS slumps' (0.74)
234,Sony Introduces a 13 Inch Tablet That Slides Up Into A Laptop,"b'Will We Soon See a Color Kindle E-Reader, Instead of Black and White?' (0.91)",b'Amazon Innovates With New Tablets and e-Readers' (0.88),b'Lenovo A7000 Phablet Offers Super Sound and Little Interference' (0.86),b'Sony Unveils Xperia Z3 Flagship Phone' (0.86),b'Amazon Offers Comparable Tablet Cheaper Than iPad Air' (0.86),b'HP Reinventing Traditional Computers With Mini Desktop PC' (0.83),b'Amazon Introduces New Kindle Fire Tablets' (0.83),"b'HP to Introduce Another Tablet Laptop Hybrid, Using Windows' (0.81)",b'Microsoft Temporarily Cuts the Price on the Surface 2' (0.80),b'New Amazon Kindles Will Be More Like Tablets' (0.80)
235,Read Social Marketology to Create Profitable Social Media Marketing,b'Navigating Social Media Legal Risks: Keeping Your Marketing Legally Safe' (0.87),b'How to Strengthen Your Social Media Content Marketing Strategy' (0.86),b'Read Impact Equation to Help You Harness Your Social Media Message' (0.78),b'Vertical Response Acquires Social Media Platform Roost' (0.78),b'Bieber Invests in Social Media for Teens' (0.75),b'Shocker: People Do Not Read What They Share on Social Media' (0.74),b'The State of Social Media' (0.74),b'Survey: Businesses Benefit from Social Media Savvy' (0.72),b'10 Social Media Resolutions for 2012' (0.72),b'The Thank You Economy:  Show You Care for People Through Social Media' (0.72)
236,Small Business Employment Share Shrinking for a Good Reason,b'Small Business Job Growth Dips in January' (0.85),"b'Fortune 500 Thrives, But Small Businesses Not So Optimistic' (0.83)",b'Small Business Optimism: Status Quo or Cautious Optimism?' (0.83),b'Small Business Wellness Programs and Return On Investment (ROI)' (0.83),b'How Much Will the Sequester Cost Small Business Contractors?' (0.82),b'How the IRS Scandal Might Benefit Small Business' (0.82),b'An Update on the Greater Opportunities for Small Business Act' (0.80),b'Small Business Groups Offer Mixed Reaction to Obama Budget' (0.78),b'Top 4 Health Insurance Trends for Small Businesses' (0.76),b'As Presidential Race Tightens Small Business Plays Big Role' (0.76)
